Frequency,ExpectedPeak2Peak,RealPeak2Peak,RealGain
277000.0 ,60.00            ,33.00        ,11.00000
278000.0 ,60.00            ,33.00        ,11.00000
279000.0 ,60.00            ,33.00        ,11.00000
280000.0 ,60.00            ,33.00        ,11.00000
281000.0 ,60.00            ,33.00        ,11.00000
282000.0 ,60.00            ,33.00        ,11.00000
283000.0 ,60.00            ,33.00        ,11.00000
284000.0 ,60.00            ,33.00        ,11.00000
285000.0 ,60.00            ,33.00        ,11.00000
286000.0 ,60.00            ,33.00        ,11.00000
287000.0 ,60.00            ,33.00        ,11.00000
288000.0 ,60.00            ,32.00        ,10.66667
289000.0 ,60.00            ,32.00        ,10.66667
290000.0 ,60.00            ,32.00        ,10.66667
291000.0 ,60.00            ,32.00        ,10.66667
292000.0 ,60.00            ,32.00        ,10.66667
293000.0 ,60.00            ,32.00        ,10.66667
294000.0 ,60.00            ,32.00        ,10.66667
295000.0 ,60.00            ,32.00        ,10.66667
296000.0 ,60.00            ,32.00        ,10.66667
297000.0 ,60.00            ,32.00        ,10.66667
298000.0 ,60.00            ,32.00        ,10.66667
299000.0 ,60.00            ,32.00        ,10.66667
300000.0 ,60.00            ,32.00        ,10.66667
301000.0 ,60.00            ,32.00        ,10.66667
302000.0 ,60.00            ,32.00        ,10.66667
303000.0 ,60.00            ,32.00        ,10.66667
304000.0 ,60.00            ,32.00        ,10.66667
305000.0 ,60.00            ,32.00        ,10.66667
306000.0 ,60.00            ,30.00        ,10.00000
307000.0 ,60.00            ,30.00        ,10.00000
308000.0 ,60.00            ,30.00        ,10.00000
309000.0 ,60.00            ,30.00        ,10.00000
310000.0 ,60.00            ,30.00        ,10.00000
311000.0 ,60.00            ,30.00        ,10.00000
312000.0 ,60.00            ,30.00        ,10.00000
313000.0 ,60.00            ,30.00        ,10.00000
314000.0 ,60.00            ,30.00        ,10.00000
315000.0 ,60.00            ,30.00        ,10.00000
316000.0 ,60.00            ,30.00        ,10.00000
317000.0 ,60.00            ,30.00        ,10.00000
318000.0 ,60.00            ,30.00        ,10.00000
319000.0 ,60.00            ,30.00        ,10.00000
320000.0 ,60.00            ,30.00        ,10.00000
321000.0 ,60.00            ,30.00        ,10.00000
322000.0 ,60.00            ,30.00        ,10.00000
323000.0 ,60.00            ,30.00        ,10.00000
324000.0 ,60.00            ,30.00        ,10.00000
325000.0 ,60.00            ,30.00        ,10.00000
326000.0 ,60.00            ,29.00        ,9.66667
327000.0 ,60.00            ,29.00        ,9.66667
328000.0 ,60.00            ,29.00        ,9.66667
329000.0 ,60.00            ,29.00        ,9.66667
330000.0 ,60.00            ,29.00        ,9.66667
331000.0 ,60.00            ,29.00        ,9.66667
332000.0 ,60.00            ,29.00        ,9.66667
333000.0 ,60.00            ,29.00        ,9.66667
334000.0 ,60.00            ,29.00        ,9.66667
335000.0 ,60.00            ,29.00        ,9.66667
336000.0 ,60.00            ,29.00        ,9.66667
337000.0 ,60.00            ,29.00        ,9.66667
338000.0 ,60.00            ,29.00        ,9.66667
339000.0 ,60.00            ,29.00        ,9.66667
340000.0 ,60.00            ,29.00        ,9.66667
341000.0 ,60.00            ,28.00        ,9.33333
342000.0 ,60.00            ,28.00        ,9.33333
343000.0 ,60.00            ,28.00        ,9.33333
344000.0 ,60.00            ,28.00        ,9.33333
345000.0 ,60.00            ,28.00        ,9.33333
346000.0 ,60.00            ,28.00        ,9.33333
347000.0 ,60.00            ,28.00        ,9.33333
348000.0 ,60.00            ,28.00        ,9.33333
349000.0 ,60.00            ,28.00        ,9.33333
350000.0 ,60.00            ,28.00        ,9.33333
351000.0 ,60.00            ,28.00        ,9.33333
352000.0 ,60.00            ,27.00        ,9.00000
353000.0 ,60.00            ,27.00        ,9.00000
354000.0 ,60.00            ,27.00        ,9.00000
355000.0 ,60.00            ,27.00        ,9.00000
356000.0 ,60.00            ,27.00        ,9.00000
357000.0 ,60.00            ,27.00        ,9.00000
358000.0 ,60.00            ,27.00        ,9.00000
359000.0 ,60.00            ,27.00        ,9.00000
360000.0 ,60.00            ,27.00        ,9.00000
361000.0 ,60.00            ,27.00        ,9.00000
362000.0 ,60.00            ,27.00        ,9.00000
363000.0 ,60.00            ,27.00        ,9.00000
364000.0 ,60.00            ,27.00        ,9.00000
